time,RPM dup 1,InlineAcc,LateralAcc,VerticalAcc,RollRate,PitchRate,YawRate,Gear,RPM dup 2,TPS
1.550,0.000000,-0.094573,0.106549,-1.016305,2.783577,2.430086,9.679001,0.000000,0.000000,0.000000
1.560,0.000000,-0.096720,0.112757,-1.015842,2.660650,2.579778,9.609207,0.000000,0.000000,0.000000
1.570,0.000000,-0.115378,0.106811,-0.996214,2.699472,2.479054,9.530829,0.000000,0.000000,0.000000
1.580,0.000000,-0.129153,0.100612,-0.982135,2.678696,2.431015,9.431725,0.000000,0.000000,0.000000
1.590,0.000000,-0.130182,0.091235,-0.983114,2.433640,2.557086,9.221208,0.000000,0.000000,0.000000
1.600,0.000000,-0.131105,0.084146,-0.989224,2.356793,2.597959,9.059918,0.000000,0.000000,0.000000
1.610,0.000000,-0.131605,0.086210,-1.015853,2.952786,2.298044,9.095545,0.000000,0.000000,0.000000
1.620,0.000000,-0.133507,0.088904,-1.032663,3.352334,2.079079,9.099755,0.000000,0.000000,0.000000
1.630,0.000000,-0.141015,0.094124,-1.010195,2.966104,2.183917,8.978303,0.000000,0.000000,0.000000
1.640,0.000000,-0.146521,0.098189,-0.992417,2.681226,2.257967,8.884379,0.000000,0.000000,0.000000
1.650,0.000000,-0.144018,0.097641,-0.993396,2.801757,2.208865,8.900574,0.000000,0.000000,0.000000
1.660,0.000000,-0.142311,0.097437,-0.996133,2.984217,2.175954,8.904784,0.000000,0.000000,0.000000
1.670,0.000000,-0.143784,0.098609,-1.005898,3.414397,2.207804,8.861061,0.000000,0.000000,0.000000
1.680,0.000000,-0.144669,0.099668,-1.014248,3.716455,2.247350,8.806973,0.000000,0.000000,0.000000
1.690,0.000000,-0.143195,0.100274,-1.016941,3.506027,2.317684,8.711432,0.000000,0.000000,0.000000
1.700,0.000000,-0.143517,0.098988,-1.015897,3.272824,2.377402,8.598723,0.000000,0.000000,0.000000
1.710,0.000000,-0.151025,0.090135,-0.999903,2.948524,2.394654,8.417355,0.000000,0.000000,0.000000
1.720,0.000000,-0.157276,0.081363,-0.987396,2.717052,2.403412,8.239224,0.000000,0.000000,0.000000
1.730,0.000000,-0.158499,0.072917,-0.988837,2.856894,2.378198,8.074050,0.000000,0.000000,0.000000
1.740,0.000000,-0.159122,0.066855,-0.992852,2.984750,2.375544,7.908551,0.000000,0.000000,0.000000
1.750,0.000000,-0.157343,0.070329,-1.007160,3.064659,2.463130,7.741756,0.000000,0.000000,0.000000
1.760,0.000000,-0.155724,0.074624,-1.019384,3.118065,2.564782,7.588889,0.000000,0.000000,0.000000
1.770,0.000000,-0.154751,0.082205,-1.023273,3.065458,2.722702,7.491727,0.000000,0.000000,0.000000
1.780,0.000000,-0.153973,0.088595,-1.024873,3.024838,2.854346,7.401690,0.000000,0.000000,0.000000
1.790,0.000000,-0.153973,0.090222,-1.017311,3.032163,2.880888,7.340154,0.000000,0.000000,0.000000
1.800,0.000000,-0.154367,0.090795,-1.009309,3.017113,2.914330,7.283800,0.000000,9.609546,0.000000
1.810,0.000000,-0.156342,0.087158,-0.999544,2.912565,2.975374,7.248174,0.000000,57.657276,0.000000
1.820,0.000000,-0.157026,0.083067,-0.991976,2.820402,3.039604,7.216435,0.000000,105.705002,0.000000
1.830,0.000000,-0.152549,0.077155,-0.993200,2.777784,3.116573,7.200241,0.000000,153.752731,0.000000
1.840,0.000000,-0.148567,0.071427,-0.993859,2.773655,3.148688,7.145183,0.000000,201.800461,0.000000
1.850,0.000000,-0.146565,0.066432,-0.992254,2.923486,3.001384,6.934666,0.000000,249.848190,0.000000
1.860,0.000000,-0.144869,0.062989,-0.990780,3.037756,2.839749,6.715404,0.000000,297.895935,0.000000
1.870,0.000000,-0.144396,0.065758,-0.989828,3.009788,2.620784,6.461164,0.000000,345.943665,0.000000
1.880,0.000000,-0.143067,0.070185,-0.990067,3.008456,2.436854,6.236396,0.000000,393.991394,0.000000
1.890,0.000000,-0.138312,0.081248,-0.995072,3.113670,2.393061,6.129518,0.000000,442.039124,0.000000
1.900,0.000000,-0.133157,0.091282,-1.001856,3.206898,2.393061,6.028794,0.000000,483.725067,0.000000
1.910,0.000000,-0.126400,0.097193,-1.015755,3.252180,2.568233,5.952684,0.000000,499.963959,0.000000
1.920,0.000000,-0.121089,0.100276,-1.027609,3.235932,2.736238,5.870744,0.000000,516.202881,0.000000
1.930,0.000000,-0.121562,0.092043,-1.031281,2.973562,2.875579,5.765485,0.000000,532.441772,0.000000
1.940,0.000000,-0.122641,0.083413,-1.030384,2.786174,2.992095,5.670914,0.000000,548.680664,0.000000
1.950,0.000000,-0.126144,0.073195,-1.011207,2.898714,3.017309,5.619095,0.000000,564.919556,0.000000
1.960,0.000000,-0.129548,0.065382,-0.995572,3.030698,3.049955,5.561769,0.000000,581.158447,0.000000
1.970,0.000000,-0.132551,0.067190,-0.994103,3.240460,3.112327,5.482420,0.000000,597.397339,0.000000
1.980,0.000000,-0.134008,0.070430,-0.994566,3.410401,3.176291,5.391088,0.000000,613.636230,0.000000
1.990,0.000000,-0.129281,0.079404,-1.002753,3.421056,3.246625,5.251823,0.000000,629.875122,0.000000
2.000,0.000000,-0.123347,0.087452,-1.007470,3.457548,3.290418,5.126484,0.000000,639.337463,0.000000
2.010,0.000000,-0.112586,0.091803,-0.998303,3.597390,3.228046,5.056851,0.000000,621.693787,0.000000
2.020,0.000000,-0.103482,0.094439,-0.988897,3.632151,3.227250,4.976531,0.000000,604.050049,0.000000
2.030,0.000000,-0.101008,0.090216,-0.978534,3.246587,3.472756,4.853459,0.000000,586.406372,0.000000
2.040,0.000000,-0.095825,0.085024,-0.970439,2.987280,3.645008,4.744314,0.000000,568.762695,0.000000
2.050,0.000000,-0.079808,0.075952,-0.971418,3.233002,3.524245,4.690876,0.000000,551.118958,0.000000
2.060,0.000000,-0.068197,0.067580,-0.974106,3.404541,3.430555,4.637760,0.000000,533.475281,0.000000
2.070,0.000000,-0.074203,0.062006,-0.983626,3.279350,3.445153,4.585941,0.000000,515.831604,0.000000
2.080,0.000000,-0.076805,0.058055,-0.995050,3.158020,3.411976,4.509830,0.000000,498.187897,0.000000
2.090,0.000000,-0.065794,0.060590,-1.014091,3.052140,3.187703,4.336559,0.000000,480.544189,0.000000
2.100,0.000000,-0.056690,0.063886,-1.026391,2.995671,2.941401,4.197941,0.000000,465.867310,0.030701
2.110,0.000000,-0.055217,0.070221,-1.011729,3.136844,2.606983,4.197941,0.000000,463.057709,0.184207
2.120,0.000000,-0.054433,0.076129,-0.994827,3.246587,2.350330,4.186606,0.000000,460.248077,0.337713
2.130,0.000000,-0.056407,0.080323,-0.968959,3.230605,2.404739,4.129928,0.000000,457.438477,0.491218
2.140,0.000000,-0.057091,0.083460,-0.954614,3.203835,2.469234,4.070983,0.000000,454.628845,0.644724
2.150,0.000000,-0.052614,0.082363,-0.986357,3.133914,2.574072,4.002970,0.000000,451.819244,0.798230
