"Time","Distance","Logger Temperature","External Voltage","InlineAcc","LateralAcc","VerticalAcc","RollRate","PitchRate","YawRate","Brake_Bias","APPS_Bias","TPS_Bias","CLT_Right_Bias","CLT_Left_Bias","Rotary_Encoder_R","Rotary_Encoder_L","Gear_Down","Gear_Up","PB_Clutch","Gear","FUSE_Status","FAN_Power","Blipper","AntiBlip","APPS1","APPS2","TPS1","TPS2","TimerAPPS","TimerTPS","TimerTPSAPPS","TimeHardFail","Brake_P_Front","Wheelspeed_1","Wheelspeed_2","CLT_RR","CLT_VR","Steering_Angle","Brake_P_Rear","Wheelspeed_1_01","Wheelspeed_2_01","CLT_VL","CLT_RL","RPM","TPS","IAT","MAP","INJPW","BARO","OILT","OILP","FUELP","CLT","IGNANG","DWELL","LAMBDA","LAMCORR","ECUTEMP","BATT","ERRFLAG","DBWPOS","DBWTRIG","Pit_Limit","UP_Accel_FL_","TYPK1_FL","TYPK2_FL","UP_Accel_FR","TYPK1_FR","TYPK2_FR","UP_Accel_RL","TYPK1_RL","TYPK2_RL","UP_Accel_RR","TYPK1_RR","TYPK2_RR","GPS_Speed","GPS_Nsat","GPS_LatAcc","GPS_LonAcc","GPS_Slope","GPS_Heading","GPS_Gyro","GPS_Altitude","GPS_PosAccuracy","GPS_SpdAccuracy","GPS_Latitude","GPS_Longitude","GPS_Elevation",
"Time","Distance","Logger Temperature","External Voltage","InlineAcc","LateralAcc","VerticalAcc","RollRate","PitchRate","YawRate","Brake_Bias","APPS_Bias","TPS_Bias","CLT_Right_Bias","CLT_Left_Bias","Rotary_Encoder_R","Rotary_Encoder_L","Gear_Down","Gear_Up","PB_Clutch","Gear","FUSE_Status","FAN_Power","Blipper","AntiBlip","APPS1","APPS2","TPS1","TPS2","TimerAPPS","TimerTPS","TimerTPSAPPS","TimeHardFail","Brake_P_Front","Wheelspeed_1","Wheelspeed_2","CLT_RR","CLT_VR","Steering_Angle","Brake_P_Rear","Wheelspeed_1_01","Wheelspeed_2_01","CLT_VL","CLT_RL","RPM","TPS","IAT","MAP","INJPW","BARO","OILT","OILP","FUELP","CLT","IGNANG","DWELL","LAMBDA","LAMCORR","ECUTEMP","BATT","ERRFLAG","DBWPOS","DBWTRIG","Pit_Limit","UP_Accel_FL_","TYPK1_FL","TYPK2_FL","UP_Accel_FR","TYPK1_FR","TYPK2_FR","UP_Accel_RL","TYPK1_RL","TYPK2_RL","UP_Accel_RR","TYPK1_RR","TYPK2_RR","GPS_Speed","GPS_Nsat","GPS_LatAcc","GPS_LonAcc","GPS_Slope","GPS_Heading","GPS_Gyro","GPS_Altitude","GPS_PosAccuracy","GPS_SpdAccuracy","GPS_Latitude","GPS_Longitude","GPS_Elevation",
"sec","km","°C","V","g","g","g","deg/s","deg/s","deg/s","%","%","%","%","%","#","#","#","#","#","gear","#","#","#","#","%","%","%","%","#","#","#","#","bar","km/h","km/h","#","#","deg","bar","km/h","km/h","#","#","rpm","%","°C","bar","ms","bar","°C","bar","bar","°C","deg","ms","lambda","%","°C","V","#","%","%","km/h","g","°C","°C","g","°C","°C","g","°C","°C","g","°C","°C","km/h","#","g","g","deg","deg","deg/s","m","#","#","°","°","cm",
"","","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87",

"2.000","0.000","31.882135","14.224113","0.064751","0.005580","-0.984721","0.301085","0.477253","0.391648","66.624481","0.000000","0.000000","51.374992","51.406235","0.000000","3.000000","0.000000","0.000000","0.000000","0.000000","4095.000000","1800.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","50.000000","50.000000","100.000000","50.000000","4.299868","0.000000","0.000000","343.099915","362.599945","25.871855","2.099957","3.840000","655.349976","364.199768","343.899902","0.000000","0.000000","25.000000","0.975910","0.000000","0.098000","105.000000","0.000000","0.000000","99.000000","0.000000","1.949988","0.999989","100.000000","27.000000","14.078062","2.000000","0.000000","0.000000","0.000000","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","0.100000","13.000000","0.000000","0.000000","-0.005524","-0.011048","-0.022096","689.015991","28.189999","0.150000","47.220997059473","14.761041322576","609.48"
"2.100","0.000","31.878286","14.224375","0.063002","0.002381","-0.982729","0.279423","0.473621","0.378784","65.160820","0.000000","0.000000","51.374992","51.406235","0.000000","3.000000","0.000000","0.000000","0.000000","0.000000","4095.000000","1800.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","50.000000","50.000000","100.000000","50.000000","4.299868","0.000000","0.000000","343.099915","362.599945","25.898832","2.299762","3.840000","655.349976","364.199768","343.899902","0.000000","0.000000","25.000000","0.973850","0.000000","0.098000","105.000000","0.000000","0.000000","99.000000","0.000000","1.949988","0.999989","100.000000","27.000000","14.088867","2.000000","0.000000","0.000000","0.000000","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","0.100000","13.000000","0.000000","0.000000","-0.005524","-0.011048","-0.022096","689.015991","28.189999","0.150000","47.220986986315","14.761039534791","611.20"
"2.200","0.000","31.874437","14.224638","0.064596","0.002870","-0.984826","0.315839","0.488687","0.397090","65.124237","0.000000","0.000000","51.374992","51.406246","0.000000","3.000000","0.000000","0.000000","0.000000","0.000000","4095.000000","1800.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","50.000000","50.000000","100.000000","50.000000","4.299868","0.000000","0.000000","343.098358","362.599945","25.898832","2.299762","3.840000","655.349976","364.388580","343.899902","0.000000","0.000000","25.000000","0.969996","0.000000","0.098000","105.000000","0.000000","0.000000","99.000000","0.000000","1.949988","0.999989","100.000000","27.000000","14.093534","2.000000","0.000000","0.000000","0.000000","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","0.100000","13.000000","0.000000","0.000000","-0.005524","-0.011048","-0.022096","689.015991","28.189999","0.150000","47.220976913158","14.761037747005","612.93"
"2.300","0.000","31.870590","14.224900","0.063950","0.006865","-0.982801","0.251194","0.560923","0.411439","65.124237","0.000000","0.000000","51.374992","51.406857","0.000000","3.000000","0.000000","0.000000","0.000000","0.000000","4095.000000","1800.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","50.000000","50.000000","100.000000","50.000000","4.299868","0.000000","0.000000","343.037598","362.599945","25.898832","2.299762","3.840000","655.349976","364.199768","343.899902","0.000000","0.000000","25.000000","0.969996","0.000000","0.098000","105.004646","0.000000","0.000000","99.000000","0.000000","1.949988","0.999989","100.000000","27.000000","14.072205","2.000000","0.000000","0.000000","0.000000","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","0.100000","13.000000","0.000000","0.000000","-0.005524","-0.011048","-0.022096","689.015991","28.189999","0.150000","47.220966840000","14.761035959220","614.65"
"2.400","0.000","31.866741","14.225163","0.063691","0.004556","-0.984971","0.266460","0.520433","0.406986","65.124237","0.000000","0.000000","51.374992","51.406246","0.000000","3.000000","0.000000","0.000000","0.000000","0.000000","4095.000000","1800.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","50.000000","50.000000","100.000000","50.000000","4.299868","0.000000","0.000000","343.030518","362.599945","25.898832","2.293136","3.840000","655.349976","364.356537","343.899902","0.000000","0.000000","25.000000","0.969996","0.000000","0.098000","105.242867","0.000000","0.000000","99.000000","0.000000","1.949988","0.999989","100.000000","27.016768","14.089420","2.000000","0.000000","0.000000","0.000000","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","0.100000","13.000000","0.000000","0.000000","-0.005524","-0.011048","-0.022096","689.015991","28.189999","0.150000","47.220956766842","14.761034171434","616.38"
"2.500","0.000","31.862894","14.225426","0.066077","0.004741","-0.985494","0.250426","0.582580","0.450279","63.577709","0.000000","0.000000","51.374992","51.407467","0.000000","3.000000","0.000000","0.000000","0.000000","0.000000","4095.000000","1800.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","50.000000","50.000000","100.000000","50.000000","3.999863","0.000000","0.000000","343.023590","362.599945","25.898832","2.099957","3.840000","655.349976","364.205475","343.899902","0.000000","0.000000","25.000000","0.970125","0.000000","0.098000","105.744781","0.000000","0.000000","99.000000","0.000000","1.949988","0.999989","100.000000","27.841564","14.093977","2.000000","0.000000","0.000000","0.000000","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","0.100000","13.000000","0.000000","0.000000","-0.005524","-0.011048","-0.022096","689.015991","28.189999","0.150000","47.220946693685","14.761032383649","618.10"
"2.600","0.000","31.859045","14.225689","0.062477","0.004642","-0.981448","0.342618","0.457882","0.438652","65.540558","0.000000","0.000000","51.374992","51.436249","0.000000","3.000000","0.000000","0.000000","0.000000","0.000000","4095.000000","1800.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","50.000000","50.000000","100.000000","50.000000","3.899666","0.000000","0.000000","343.000275","362.599945","25.898832","2.099957","3.840000","655.349976","364.394897","343.899902","0.000000","0.000000","25.000000","0.976397","0.000000","0.098000","105.000000","0.000000","0.000000","99.000000","0.000000","1.949988","0.999989","100.000000","27.999954","14.093059","2.000000","0.000000","0.000000","0.000000","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","0.100000","13.000000","0.000000","0.000000","-0.005524","-0.011048","-0.022096","689.015991","28.189999","0.150000","47.220936620527","14.761030595863","619.83"
"2.700","0.000","31.855196","14.225951","0.063132","0.004529","-0.985537","0.228764","0.653875","0.364435","64.999672","0.000000","0.000000","51.374992","51.407467","0.000000","3.000000","0.000000","0.000000","0.000000","0.000000","4095.000000","1800.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","50.000000","50.000000","100.000000","50.000000","3.899666","0.000000","0.000000","343.090515","362.599945","25.898832","2.099957","3.840000","655.349976","364.320923","343.899902","0.000000","0.000000","25.000000","0.973420","0.000000","0.098000","105.000000","0.000000","0.000000","99.000000","0.000000","1.949988","0.999989","100.000000","27.999954","14.048345","2.000000","0.000000","0.000000","0.000000","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","0.100000","13.000000","0.000000","0.000000","-0.005524","-0.011048","-0.022096","689.015991","28.189999","0.150000","47.220926547369","14.761028808078","621.55"
"2.800","0.000","31.851349","14.226214","0.064940","0.002878","-0.983407","0.333151","0.473621","0.392638","64.409752","0.000000","0.000000","51.374992","51.436249","0.000000","3.000000","0.000000","0.000000","0.000000","0.000000","4095.000000","1800.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","50.000000","50.000000","100.000000","50.000000","3.816227","0.000000","0.000000","343.003571","362.599945","25.898832","2.099957","3.840000","655.349976","364.296082","343.899902","0.000000","0.000000","25.000000","0.969996","0.000000","0.098000","105.000000","0.000000","0.000000","99.000000","0.000000","1.949988","0.999989","100.000000","27.999954","14.063666","2.000000","0.000000","0.000000","0.000000","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","0.100000","13.000000","0.000000","0.000000","-0.005524","-0.011048","-0.022096","689.015991","28.189999","0.150000","47.220916474211","14.761027020293","623.28"
"2.900","0.000","31.847500","14.226477","0.063235","0.004569","-0.983407","0.324879","0.492991","0.394617","63.825268","0.000000","0.000000","51.374992","51.407478","0.000000","3.000000","0.000000","0.000000","0.000000","0.000000","4095.000000","1800.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","50.000000","50.000000","100.000000","50.000000","3.767594","0.000000","0.000000","343.009308","362.599945","25.866796","2.099957","3.840000","655.349976","364.399872","343.899902","0.000000","0.000000","25.000000","0.969996","0.000000","0.098000","105.000000","0.000000","0.000000","99.000000","0.000000","1.949988","0.999989","100.000000","27.999954","14.090050","2.000000","0.000000","0.000000","0.000000","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","0.100000","13.000000","0.000000","0.000000","-0.005524","-0.011048","-0.022096","689.015991","28.189999","0.150000","47.220906401054","14.761025232507","625.01"
"3.000","0.000","31.843725","14.226702","0.064320","0.004577","-0.984877","0.307822","0.414635","0.393998","63.791191","0.000000","0.000000","51.374992","51.437477","0.000000","3.000000","0.000000","0.000000","0.000000","0.000000","4095.000000","1800.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","50.000000","50.000000","100.000000","50.000000","3.642436","0.000000","0.000000","343.004578","362.599945","25.898832","2.037707","3.840000","655.349976","364.395935","343.899902","0.000000","0.000000","25.000000","0.969996","0.000000","0.098000","105.000000","0.000000","0.000000","99.000000","0.000000","1.949988","0.999989","100.000000","27.999954","14.070138","2.000000","0.000000","0.000000","0.000000","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","0.100000","13.000000","0.000000","0.000000","-0.005524","-0.011048","-0.022096","689.015991","28.189999","0.150000","47.220896227165","14.761023426844","626.75"
"3.100","0.000","31.843588","14.225626","0.064135","0.004577","-0.980958","0.312897","0.462859","0.400554","64.241638","0.000000","0.000000","51.374992","51.437458","0.000000","3.000000","0.000000","0.000000","0.000000","0.000000","4095.000000","1800.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","50.000000","50.000000","100.000000","50.000000","3.585716","0.000000","0.000000","343.095642","362.599945","25.898832","1.999553","3.840000","655.349976","364.266052","343.899902","0.000000","0.000000","25.000000","0.969996","0.000000","0.098000","105.000000","0.000000","0.000000","99.000000","0.000000","1.949988","0.999989","100.000000","27.999954","14.067716","2.000000","0.000000","0.000000","0.000000","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","0.100000","13.000000","0.000000","0.000000","-0.005524","-0.011048","-0.022096","689.015991","28.189999","0.150000","47.220886154007","14.761021639059","628.47"
"3.200","0.000","31.843452","14.224551","0.063119","0.002636","-0.984877","0.346242","0.473217","0.407357","63.201347","0.000000","0.000000","51.374992","51.436867","0.000000","3.000000","0.000000","0.000000","0.000000","0.000000","4095.000000","1800.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","50.000000","50.000000","100.000000","50.000000","3.457628","0.000000","0.000000","342.999878","362.599945","25.898832","1.999553","3.840000","655.349976","364.399872","343.899902","0.000000","0.000000","25.000000","0.969996","0.000000","0.098000","105.000000","0.000000","0.000000","99.000000","0.000000","1.949988","0.999989","100.000000","27.999954","14.091106","2.000000","0.000000","0.000000","0.000000","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","0.100000","13.000000","0.000000","0.000000","-0.005524","-0.011048","-0.022096","689.015991","28.189999","0.150000","47.220876080849","14.761019851273","630.20"
"3.300","0.000","31.843315","14.223475","0.064023","0.004678","-0.981970","0.290467","0.537449","0.427148","62.987610","0.000000","0.000000","51.374992","51.437477","0.000000","3.000000","0.000000","0.000000","0.000000","0.311040","4095.000000","1800.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","50.000000","50.000000","100.000000","50.000000","3.499465","0.000000","0.000000","342.999878","362.599945","25.898832","1.999553","3.840000","655.349976","364.399872","343.899902","0.000000","0.000000","25.000000","0.969996","0.000000","0.098000","105.000000","0.000000","0.000000","99.000000","0.000000","1.950154","0.999989","100.000000","27.999954","14.092504","2.000000","0.000000","0.000000","0.000000","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","0.100000","13.000000","0.000000","0.000000","-0.005524","-0.011048","-0.022096","689.015991","28.189999","0.150000","47.220866007691","14.761018063488","631.92"
"3.400","0.000","31.843180","14.222400","0.065237","0.004577","-0.984387","0.300957","0.510075","0.434446","62.553726","0.000000","0.000000","51.374992","51.437477","0.000000","3.000000","0.000000","0.000000","0.000000","0.000000","4095.000000","1800.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","50.000000","50.000000","100.000000","50.000000","3.527766","0.000000","0.000000","342.999878","362.599945","25.898832","1.999553","3.840000","655.349976","364.399872","343.899902","0.000000","0.000000","25.000000","0.969996","0.000000","0.098000","105.000000","0.000000","0.000000","99.000000","0.000000","1.956832","0.999989","100.000000","27.999954","14.045462","2.000000","0.000000","0.000000","0.000000","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","0.100000","13.000000","0.000000","0.000000","-0.005524","-0.011048","-0.022096","689.015991","28.189999","0.150000","47.220855934534","14.761016275702","633.65"
"3.500","0.000","31.843042","14.221324","0.066099","0.004577","-0.984801","0.325348","0.507385","0.414779","63.624332","0.000000","0.000000","51.374992","51.437477","0.000000","3.000000","0.000000","0.000000","0.000000","0.000000","4095.000000","1800.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","50.000000","50.000000","100.000000","50.000000","3.537903","0.000000","0.000000","342.999878","362.599945","25.898832","1.999553","3.840000","655.349976","364.399872","343.899902","0.000000","0.000000","25.000000","0.969996","0.000000","0.098000","105.000000","0.000000","0.000000","99.000000","0.000000","1.999992","0.999989","100.000000","27.999954","14.065352","2.000000","0.000000","0.000000","0.000000","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","0.100000","13.000000","0.000000","0.000000","-0.005524","-0.011048","-0.022096","689.015991","28.189999","0.150000","47.220845861376","14.761014487917","635.38"
"3.600","0.000","31.842907","14.220248","0.065741","0.004577","-0.984327","0.327779","0.505232","0.423561","63.624332","0.000000","0.000000","51.374992","51.437477","0.000000","3.000000","0.000000","0.000000","0.000000","0.539971","4095.000000","1800.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","50.000000","50.000000","100.000000","50.000000","3.561809","0.000000","0.000000","342.999878","362.599945","25.898832","2.056783","3.840000","655.349976","364.399872","343.899902","0.000000","0.000000","25.000000","0.969996","0.000000","0.098000","105.000000","0.000000","0.000000","99.000000","0.000000","1.999927","0.999989","100.000000","27.999954","14.091303","2.000000","0.000000","0.000000","0.000000","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","0.100000","13.000000","0.000000","0.000000","-0.005524","-0.011048","-0.022096","689.015991","28.189999","0.150000","47.220835788218","14.761012700132","637.10"
"3.700","0.000","31.842770","14.219173","0.065655","0.004577","-0.984224","0.328631","0.500995","0.426035","63.624332","0.000000","0.000000","51.374992","51.437477","0.000000","3.000000","0.000000","0.000000","0.000000","0.000000","4095.000000","1800.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","50.000000","50.000000","100.000000","50.000000","3.557825","0.000000","0.000000","342.999878","362.599945","25.898832","2.056834","3.840000","655.349976","364.399872","343.899902","0.000000","0.000000","25.000000","0.969996","0.000000","0.098000","105.000000","0.000000","0.000000","99.000000","0.000000","1.997305","0.999989","100.000000","27.999954","14.068820","2.000000","0.000000","0.000000","0.000000","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","0.100000","13.000000","0.000000","0.000000","-0.005524","-0.011048","-0.022096","689.015991","28.189999","0.150000","47.220825715061","14.761010912346","638.83"
"3.800","0.000","31.842634","14.218098","0.065599","0.004577","-0.984133","0.328631","0.496960","0.426035","63.624332","0.000000","0.000000","51.374992","51.437477","0.000000","3.000000","0.000000","0.000000","0.000000","0.000000","4095.000000","1800.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","50.000000","50.000000","100.000000","50.000000","3.555188","0.000000","0.000000","342.999878","362.599945","25.898832","2.071694","3.840000","655.349976","364.399872","343.899902","0.000000","0.000000","25.000000","0.969996","0.000000","0.098000","105.000000","0.000000","0.000000","99.000000","0.000000","1.980459","0.999989","100.000000","27.999954","14.075721","2.000000","0.000000","0.000000","0.000000","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","0.100000","13.000000","0.000000","0.000000","-0.005524","-0.011048","-0.022096","689.015991","28.189999","0.150000","47.220815641903","14.761009124561","640.55"
"3.900","0.000","31.842497","14.217022","0.065526","0.004577","-0.984042","0.328631","0.492924","0.426035","63.624332","0.000000","0.000000","51.374992","51.437477","0.000000","3.000000","0.000000","0.000000","0.000000","0.000000","4095.000000","1800.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","50.000000","50.000000","100.000000","50.000000","3.657729","0.000000","0.000000","342.999878","362.599945","25.898832","2.018479","3.840000","655.349976","364.399872","343.899902","0.000000","0.000000","25.000000","0.969996","0.000000","0.098000","105.000000","0.000000","0.000000","99.000000","0.000000","1.963952","0.999989","100.000000","27.999954","14.084809","2.000000","0.000000","0.000000","0.000000","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","0.100000","13.000000","0.000000","0.000000","-0.005524","-0.011048","-0.022096","689.015991","28.189999","0.150000","47.220805568745","14.761007336775","642.28"
"4.000","0.000","31.842089","14.215979","0.065440","0.004577","-0.983951","0.328631","0.487745","0.426035","63.663517","0.000000","0.000000","51.374992","51.437477","0.000000","3.000000","0.000000","0.000000","0.000000","0.000000","4095.000000","1800.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","50.000000","50.000000","100.000000","50.000000","3.499465","0.000000","0.000000","342.999878","362.599945","25.898832","1.969582","3.840000","655.349976","364.399872","343.899902","0.000000","0.000000","25.000000","0.969996","0.000000","0.098000","105.000000","0.000000","0.000000","99.000000","0.000000","1.959078","0.999989","100.000000","27.999954","14.092065","2.000000","0.000000","0.000000","0.000000","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","0.100000","13.000000","0.000000","0.000000","-0.005524","-0.011048","-0.022096","689.015991","28.189999","0.150000","47.220795495588","14.761005548990","644.00"
"4.100","0.000","31.832851","14.215979","0.063674","0.002128","-0.984209","0.329186","0.439722","0.425664","63.865753","0.000000","0.000000","51.374992","51.437477","0.000000","3.000000","0.000000","0.000000","0.000000","0.000000","4095.000000","1800.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","50.000000","50.000000","100.000000","50.000000","3.524602","0.000000","0.000000","342.999878","362.599945","25.898832","1.981631","3.840000","655.349976","364.399872","343.899902","0.000000","0.000000","25.000000","0.969996","0.000000","0.098000","105.000000","0.000000","0.000000","99.000000","0.000000","1.990248","0.999989","100.000000","27.999954","14.042367","2.000000","0.000000","0.000000","0.000000","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","0.100000","13.000000","0.000000","0.000000","-0.005524","-0.011048","-0.022096","689.015991","28.189999","0.150000","47.220785422430","14.761003761204","645.73"
"4.200","0.000","31.823523","14.215979","0.064630","0.002422","-0.985265","0.209234","0.496085","0.403275","64.849686","0.000000","0.000000","51.374992","51.437477","0.000000","3.000000","0.000000","0.000000","0.000000","0.000000","4095.000000","1800.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","50.000000","50.000000","100.000000","50.000000","3.579739","0.000000","0.000000","342.999878","362.599945","25.898832","1.943829","3.840000","655.349976","364.399872","343.899902","0.000000","0.000000","25.000000","0.969996","0.000000","0.098000","105.000000","0.000000","0.000000","99.000000","0.000000","1.949988","0.999989","100.000000","27.999954","14.066182","2.000000","0.000000","0.000000","0.000000","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","0.100000","13.000000","0.000000","0.000000","-0.005524","-0.011048","-0.022096","689.015991","28.189999","0.150000","47.220775248541","14.761001955541","647.47"
"4.300","0.000","31.814285","14.215979","0.063485","0.004434","-0.983309","0.289401","0.422639","0.408718","64.588806","0.000000","0.000000","51.374992","51.437477","0.000000","3.000000","0.000000","0.000000","0.000000","0.000000","4095.000000","1800.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","50.000000","50.000000","100.000000","50.000000","3.499465","0.000000","0.000000","342.999878","362.599945","25.898832","1.943829","3.840000","655.349976","364.399872","343.899902","0.000000","0.000000","25.000000","0.969996","0.000000","0.098000","105.000000","0.000000","0.000000","99.000000","0.000000","1.949988","0.999989","100.000000","27.999954","14.066995","2.000000","0.000000","0.000000","0.000000","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","0.100000","13.000000","0.000000","0.000000","-0.005524","-0.011048","-0.022096","689.015991","28.189999","0.150000","47.220765175383","14.761000167756","649.20"
